job_id,provider_id,location_id,service,completion_date,job_cost,distance_miles,response_hours,days_to_complete,quality_score,job_status
J00001,P0021,L056,Catch Basin Repair,2026-04-04,4333.5,70.0,8,8,4.7,Completed
J00002,P0179,L066,Erosion Control,2025-09-03,3827.34,91.5,18,2,4.3,Completed
J00003,P0057,L042,Erosion Control,2024-10-26,6384.93,349.1,25,6,5.0,Completed
J00004,P0156,L011,Pond Maintenance,2025-06-10,5736.95,81.6,7,10,4.6,Rework Required
J00005,P0293,L030,CCTV Inspection,2026-02-07,1620.97,14.0,31,4,4.5,Completed
J00006,P0056,L011,Vactor / Jet Vac,2026-06-06,5242.77,246.6,31,1,4.7,Completed
J00007,P0144,L057,Pipe Lining,2025-12-29,9586.58,57.8,8,3,4.3,Completed
J00008,P0273,L047,Catch Basin Repair,2025-11-23,3794.01,77.4,13,4,4.1,Completed
J00009,P0197,L027,Pipe Lining,2024-10-02,10472.13,110.7,25,10,4.3,Completed
J00010,P0195,L068,Stormwater Inspection,2025-10-10,2266.73,162.0,12,4,4.5,Completed
J00011,P0101,L050,CCTV Inspection,2026-02-06,2603.13,144.8,3,1,3.0,Completed
J00012,P0026,L066,Erosion Control,2025-05-14,8827.59,130.1,6,7,3.7,Completed
J00013,P0049,L005,Vactor / Jet Vac,2026-05-17,4028.04,167.9,39,5,3.1,Completed
J00014,P0229,L037,Emergency Callout,2025-12-15,4176.1,49.4,22,1,4.1,Completed
J00015,P0206,L070,CCTV Inspection,2025-02-11,2520.03,112.1,32,5,4.6,Completed
J00016,P0178,L007,Stormwater Inspection,2025-05-21,1819.47,127.6,2,1,3.3,Completed
J00017,P0258,L014,Pond Maintenance,2025-08-14,6505.54,159.2,29,6,4.8,Completed
J00018,P0211,L024,Emergency Callout,2026-07-04,2808.32,134.1,13,1,5.0,Completed
J00019,P0036,L065,Vactor / Jet Vac,2025-10-03,3909.14,91.5,22,10,4.5,Completed
J00020,P0011,L044,Emergency Callout,2026-05-28,3308.82,83.8,11,3,4.1,Completed
J00021,P0158,L024,Emergency Callout,2025-03-14,2904.17,151.5,23,5,3.6,Completed
J00022,P0080,L018,Pipe Lining,2024-11-05,8483.95,48.3,10,9,3.9,Completed
J00023,P0031,L065,Pond Maintenance,2025-01-04,8283.65,28.7,15,6,3.9,Completed
J00024,P0130,L030,Erosion Control,2025-10-26,5090.4,110.9,22,2,4.5,Completed
J00025,P0080,L018,Stormwater Inspection,2026-01-13,1475.03,48.3,10,5,4.2,Completed
J00026,P0239,L004,Catch Basin Repair,2024-04-03,3788.89,15.9,36,4,4.3,Completed
J00027,P0203,L033,Vactor / Jet Vac,2024-03-20,5365.39,81.3,17,6,4.1,Completed
J00028,P0154,L031,Catch Basin Repair,2025-03-31,4443.37,137.4,37,5,3.2,Completed
J00029,P0178,L030,Erosion Control,2026-05-30,5892.48,122.5,2,3,2.7,Completed
J00030,P0256,L044,Pipe Lining,2024-08-22,14766.72,144.7,15,9,4.1,Completed
