provider_id,provider_name,city,state,latitude,longitude,services,capacity,active_jobs,utilization_pct,rating,average_response_hours,agreement_status
P0001,Blue River Drainage Group,Evansville,IN,38.056921,-87.903895,Pipe Lining,7,6,85.7,4.6,1,Active
P0002,Blue River Environmental,Chicago,IL,41.51349,-87.588891,Catch Basin Repair,20,10,50.0,4.2,10,Active
P0003,Great Lakes Restoration,Cincinnati,OH,39.349331,-84.263107,Emergency Callout | Pond Maintenance,12,6,50.0,4.7,25,Expiring Soon
P0004,Great Lakes Waterworks,Terre Haute,IN,39.226098,-87.2959,CCTV Inspection | Pipe Lining,14,4,28.6,4.6,19,Active
P0005,Midwest Contracting,Evansville,IN,37.919839,-87.788997,Erosion Control | Vactor / Jet Vac,18,13,72.2,4.1,15,Active
P0006,Heartland Restoration,Lexington,KY,37.942003,-84.333361,Erosion Control,22,13,59.1,4.4,24,Expiring Soon
P0007,Red Oak Site Solutions,Fort Wayne,IN,41.678961,-85.269453,CCTV Inspection | Emergency Callout | Stormwater Inspection,7,2,28.6,3.8,26,Active
P0008,Summit Contracting,Louisville,KY,38.568812,-85.794963,Erosion Control | Pond Maintenance,24,10,41.7,3.8,27,Active
P0009,Ironwood Site Solutions,Terre Haute,IN,39.674811,-87.240091,Stormwater Inspection,12,4,33.3,4.3,21,Active
P0010,Crossroads Environmental,Cleveland,OH,41.560533,-81.415543,Vactor / Jet Vac,14,8,57.1,4.5,20,Active
P0011,Keystone Municipal Services,Cincinnati,OH,39.184053,-84.309988,CCTV Inspection | Emergency Callout | Erosion Control,19,6,31.6,4.1,14,Pending
P0012,Summit Drainage Group,Peoria,IL,40.514714,-89.677046,Pond Maintenance,22,16,72.7,3.8,30,Pending
P0013,Midwest Site Solutions,Lexington,KY,37.569396,-84.610863,Catch Basin Repair | Pipe Lining | Pond Maintenance | Vactor / Jet Vac,5,3,60.0,4.5,27,Active
P0014,Prairie Waterworks,Terre Haute,IN,39.688837,-87.525492,Catch Basin Repair | Stormwater Inspection,23,11,47.8,4.6,17,Active
P0015,Crossroads Environmental 15,Grand Rapids,MI,42.606208,-86.030752,CCTV Inspection | Erosion Control,21,8,38.1,4.4,21,Expiring Soon
P0016,Heartland Drainage Group,Cleveland,OH,41.692636,-81.831121,Emergency Callout | Vactor / Jet Vac,12,7,58.3,4.5,16,Expiring Soon
P0017,Keystone Infrastructure,Detroit,MI,42.459297,-83.257616,Erosion Control | Pond Maintenance | Stormwater Inspection,20,9,45.0,4.0,6,Active
P0018,Prairie Utility Services,Louisville,KY,38.389052,-85.908709,Pond Maintenance | Vactor / Jet Vac,14,7,50.0,4.4,24,Active
P0019,Keystone Drainage Group,Louisville,KY,38.439008,-85.790015,Catch Basin Repair,22,10,45.5,4.2,1,Active
P0020,Crossroads Infrastructure,Springfield,IL,39.376509,-90.073364,CCTV Inspection | Catch Basin Repair | Erosion Control | Pipe Lining,21,8,38.1,4.4,10,Active
P0021,Premier Site Solutions,Milwaukee,WI,42.933014,-87.490747,Catch Basin Repair | Emergency Callout | Erosion Control | Pipe Lining,24,12,50.0,4.5,9,Active
P0022,Central Infrastructure,Detroit,MI,42.273877,-83.349807,CCTV Inspection,14,6,42.9,4.6,1,Active
P0023,Northstar Site Solutions,Columbus,OH,40.082839,-82.922725,Vactor / Jet Vac,11,4,36.4,3.5,20,Pending
P0024,Heartland Restoration 24,Cleveland,OH,41.351042,-81.619944,Emergency Callout,10,5,50.0,4.9,17,Active
