zip_code,city,state,latitude,longitude
46204,Indianapolis,IN,39.7684,-86.1581
46802,Fort Wayne,IN,41.0793,-85.1394
46601,South Bend,IN,41.6764,-86.252
47708,Evansville,IN,37.9716,-87.5711
47901,Lafayette,IN,40.4167,-86.8753
47807,Terre Haute,IN,39.4667,-87.4139
45202,Cincinnati,OH,39.1031,-84.512
43215,Columbus,OH,39.9612,-82.9988
45402,Dayton,OH,39.7589,-84.1916
43604,Toledo,OH,41.6528,-83.5379
44113,Cleveland,OH,41.4993,-81.6944
40202,Louisville,KY,38.2527,-85.7585
40507,Lexington,KY,38.0406,-84.5037
60601,Chicago,IL,41.8781,-87.6298
61602,Peoria,IL,40.6936,-89.589
62701,Springfield,IL,39.7817,-89.6501
48226,Detroit,MI,42.3314,-83.0458
49503,Grand Rapids,MI,42.9634,-85.6681
48933,Lansing,MI,42.7325,-84.5555
53202,Milwaukee,WI,43.0389,-87.9065
